"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
3.330622897E0	-2.110386610E0	-7.084509730E-1	-1.241278172E0
3.340622897E0	-2.051896334E0	-7.221954465E-1	-1.218523502E0
3.350622897E0	-1.975232720E0	-7.577783465E-1	-1.188743711E0
3.360622897E0	-1.901928902E0	-7.800748944E-1	-1.147968531E0
3.370622897E0	-1.834733725E0	-7.938193679E-1	-1.105818868E0
3.380622897E0	-1.771203756E0	-8.086328506E-1	-1.061225653E0
3.390622897E0	-1.702786922E0	-8.211556077E-1	-1.014341712E0
3.400622897E0	-1.642922044E0	-8.251262307E-1	-9.734137654E-1
3.410622897E0	-1.564578652E0	-8.290968537E-1	-9.191994667E-1
3.420622897E0	-1.477835774E0	-8.232936263E-1	-8.626944423E-1
3.430622897E0	-1.395827055E0	-8.139779568E-1	-8.072584271E-1
3.440622897E0	-1.313971162E0	-7.985535860E-1	-7.506006956E-1
3.450622897E0	-1.230740786E0	-7.745771408E-1	-6.940956116E-1
3.460622897E0	-1.168279767E0	-7.565566301E-1	-6.495024562E-1
3.470622897E0	-1.083827615E0	-7.264714837E-1	-5.940664411E-1
3.480622897E0	-9.993755221E-1	-6.939429045E-1	-5.387831330E-1
3.490622897E0	-9.161451459E-1	-6.579018831E-1	-4.833471179E-1
3.500622897E0	-8.194757104E-1	-5.815436840E-1	-4.306600094E-1
3.510622897E0	-7.228062749E-1	-5.259549618E-1	-3.778201640E-1
3.520622897E0	-6.568328738E-1	-5.262604356E-1	-3.356704414E-1
3.530622897E0	-5.845980644E-1	-5.155702829E-1	-2.863430977E-1
3.540622897E0	-5.025894046E-1	-4.416555762E-1	-2.345722616E-1
3.550622897E0	-4.240931869E-1	-3.689626157E-1	-1.864666194E-1
3.560622897E0	-3.445279896E-1	-2.926044464E-1	-1.395827085E-1
3.570622897E0	-2.501493096E-1	-1.956295967E-1	-9.651670605E-2
3.580622897E0	-1.744020283E-1	-1.375973970E-1	-5.940664560E-2
3.590622897E0	-8.139779419E-2	-7.712173462E-2	-1.634064503E-2
3.600622897E0	1.771509275E-2	2.901609987E-3	2.550362423E-2
3.610622897E0	1.178969890E-1	8.155050874E-2	7.086037099E-2
3.620622897E0	2.218967974E-1	1.638645977E-1	1.151480973E-1
3.630622897E0	3.271183372E-1	2.449569702E-1	1.580613852E-1
3.640622897E0	4.089742899E-1	2.958115041E-1	1.976149082E-1
3.650622897E0	4.995350540E-1	3.440698385E-1	2.443460971E-1
3.660622897E0	5.791002512E-1	3.998112977E-1	2.912299931E-1
3.670622897E0	6.550002694E-1	4.541783035E-1	3.381139040E-1
3.680622897E0	7.370089293E-1	4.977024496E-1	3.872885704E-1
3.690622897E0	8.251262307E-1	5.557346344E-1	4.329507351E-1
3.700622897E0	9.069821835E-1	6.041457057E-1	4.699080884E-1
3.710622897E0	1.004873276E0	6.572909951E-1	5.178610086E-1
3.720622897E0	1.098946571E0	7.006624341E-1	5.645921826E-1
